archivo,ciclo,tipo,proceso,fecha_examen,paginas,ruta,paginas_texto,familia,condiciones,columnas,n_puntajes,n_codigos,n_nombres,n_cortes,utilidad
RESULT_BECA_ESPERANZA_COMUNIDADES2026.pdf,2026,beca,RESULTADOS EXAMEN DE ADMISION 2026 - BECA ESPERANZA JOVEN - COMUNIDADES,15/03/2026,1,data/raw/2026/RESULT_BECA_ESPERANZA_COMUNIDADES2026.pdf,1,DEVEXP,,Condición|Nombre|Ord.|Total,20,0,29,0,puntajes_sin_condicion
RESULT_BECA_TISUR2026.pdf,2026,beca,RESULTADOS EXAMEN DE ADMISION 2026 - BECA TISUR,15/03/2026,1,data/raw/2026/RESULT_BECA_TISUR2026.pdf,1,DEVEXP,,Condición|Nombre|Ord.|Total,2,0,3,0,puntajes_sin_condicion
RESULT_EGEDS2026III.pdf,2026,distancia,TERCER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2026 - ORDINARIO III,15/03/2026,40,data/raw/2026/RESULT_EGEDS2026III.pdf,40,DEVEXP,INGRESO,Condición|Nombre|Ord.|Total,204,0,170,0,solo_ingresantes
RESULT_EXTRAORDINARIO_2026.pdf,2026,extraordinario,EXAMEN EXTRAORDINARIO ESPECIAL 2026 - PRIMEROS PUESTOS,05/07/2026,6,data/raw/2026/RESULT_EXTRAORDINARIO_2026.pdf,6,DEVEXP,INGRESO,Condición|Nombre|Ord.|Total,9,0,13,0,solo_ingresantes
RESULT_ORDINARIO_2026.pdf,2026,ordinario,SEGUNDO EXAMEN ORDINARIO ESPECIAL 2026 - EGRESADOS SECUNDARIA,05/07/2026,11,data/raw/2026/RESULT_ORDINARIO_2026.pdf,11,DEVEXP,INGRESO,Condición|Nombre|Ord.|Total,121,0,105,0,solo_ingresantes
RendimientoSuperior2026.pdf,2026,rendimiento_superior,EXAMEN EXTRAORDINARIO 2026 I - RENDIMIENTO SUPERIOR - AREQUIPA,06/07/2025,76,data/raw/2026/RendimientoSuperior2026.pdf,76,DEVEXP,NO INGRESO|NSP,Condición|Nombre|Ord.|Total,713,0,1073,0,con_denominador
Resul_PrecaIII.pdf,2026,precatolica,PRECATOLICA 2026-III,08/02/2026,55,data/raw/2026/Resul_PrecaIII.pdf,55,DEVEXP,INGRESO,Condición|Nombre|Ord.|Total,809,0,383,55,solo_ingresantes
Resultados_2026_IEOE.pdf,2026,ordinario,PRIMER EXAMEN ORDINARIO ESPECIAL 2026,19/04/2026,11,data/raw/2026/Resultados_2026_IEOE.pdf,11,DEVEXP,INGRESO,Condición|Nombre|Ord.|Total,105,0,75,11,solo_ingresantes
Resultados_2026_IIIORDINARIO.pdf,2026,ordinario,TERCER EXAMEN ORDINARIO 2026,15/02/2026,36,data/raw/2026/Resultados_2026_IIIORDINARIO.pdf,36,DEVEXP,INGRESO,Condición|Nombre|Ord.|Total,1000,0,753,28,solo_ingresantes
Resultados_Final_EO2026II.pdf,2026,traslado,EXAMEN EXTRAORDINARIO 2026 II - TRASLADO EXTERNO NACIONAL II,02/08/2026,33,data/raw/2026/Resultados_Final_EO2026II.pdf,33,DEVEXP,INGRESO,Condición|Nombre|Ord.|Total,44,0,56,0,solo_ingresantes
precatolica2026-I_final.pdf,2026,precatolica,PRECATOLICA 2026-I,03/08/2025,51,data/raw/2026/precatolica2026-I_final.pdf,51,DEVEXP,INGRESO,Condición|Nombre|Ord.|Total,937,0,438,51,solo_ingresantes
